zip,zip_lat,zip_lng,city,state_id,state_name,population,density,county_name
1436,42.605470000000004,-72.08848,Baldwinville,MA,Massachusetts,3336,134.3,Worcester
1438,42.5618,-72.0317,East Templeton,MA,Massachusetts,559,398.2,Worcester
1440,42.587379999999996,-71.98648,Gardner,MA,Massachusetts,20347,326.9,Worcester
1450,42.61368,-71.56142,Groton,MA,Massachusetts,10646,125.4,Middlesex
1451,42.50124,-71.57378,Harvard,MA,Massachusetts,4747,95.8,Worcester
1452,42.48379,-72.00514,Hubbardston,MA,Massachusetts,4382,41.2,Worcester
1453,42.51863,-71.76138,Leominster,MA,Massachusetts,40883,554.3,Worcester
1460,42.53501,-71.4891,Littleton,MA,Massachusetts,8924,208.6,Middlesex
1462,42.58968,-71.7199,Lunenburg,MA,Massachusetts,10086,147.4,Worcester
1463,42.67127,-71.60426,Pepperell,MA,Massachusetts,11497,196.6,Middlesex
1464,42.57331,-71.64837,Shirley,MA,Massachusetts,7211,185.9,Middlesex
1467,42.48772,-71.61729,Still River,MA,Massachusetts,316,64.6,Worcester
1468,42.55208,-72.06894,Templeton,MA,Massachusetts,4021,72.5,Worcester
1469,42.66673,-71.69396,Townsend,MA,Massachusetts,6801,115.3,Middlesex
1473,42.55122,-71.90266,Westminster,MA,Massachusetts,7277,79.3,Worcester
1474,42.667840000000005,-71.75220999999999,West Townsend,MA,Massachusetts,2125,82.6,Middlesex
1475,42.66667,-72.04899,Winchendon,MA,Massachusetts,10270,92.5,Worcester
1501,42.1972,-71.84534000000001,Auburn,MA,Massachusetts,16075,401.4,Worcester
1503,42.38378,-71.63551,Berlin,MA,Massachusetts,2866,85.3,Worcester
1504,42.0399,-71.53121999999999,Blackstone,MA,Massachusetts,9026,313.7,Worcester
1505,42.35633,-71.72123,Boylston,MA,Massachusetts,4355,104.7,Worcester
1506,42.19365,-72.10441,Brookfield,MA,Massachusetts,3390,84.3,Worcester
1507,42.135090000000005,-71.96803,Charlton,MA,Massachusetts,12981,118.8,Worcester
1510,42.4119,-71.68881999999999,Clinton,MA,Massachusetts,13606,929.2,Worcester
1515,42.20328,-72.0467,East Brookfield,MA,Massachusetts,2183,85.4,Worcester
1516,42.05284,-71.75092,Douglas,MA,Massachusetts,8500,89.3,Worcester
1518,42.123490000000004,-72.11861,Fiskdale,MA,Massachusetts,2974,129.3,Worcester
1519,42.2011,-71.68019,Grafton,MA,Massachusetts,6595,233.3,Worcester
1520,42.335359999999994,-71.85284,Holden,MA,Massachusetts,13997,298.9,Worcester
1521,42.06012,-72.16592,Holland,MA,Massachusetts,2481,78.0,Hampden
1522,42.381370000000004,-71.86913,Jefferson,MA,Massachusetts,3310,78.0,Worcester
1523,42.47971,-71.67844000000001,Lancaster,MA,Massachusetts,7582,116.2,Worcester
1524,42.24923,-71.91983,Leicester,MA,Massachusetts,6696,161.8,Worcester
1525,42.10683,-71.63235999999999,Linwood,MA,Massachusetts,290,249.5,Worcester
1527,42.19218,-71.77416,Millbury,MA,Massachusetts,13246,328.3,Worcester
1529,42.03905,-71.57766,Millville,MA,Massachusetts,3190,253.2,Worcester
1531,42.31929,-72.12795,New Braintree,MA,Massachusetts,999,18.6,Worcester
1532,42.32315,-71.64621,Northborough,MA,Massachusetts,14155,295.9,Worcester
1534,42.14043,-71.643,Northbridge,MA,Massachusetts,5631,248.2,Worcester
1535,42.2695,-72.07795,North Brookfield,MA,Massachusetts,4680,85.0,Worcester
1536,42.23236,-71.69100999999999,North Grafton,MA,Massachusetts,6888,319.0,Worcester
1537,42.161570000000005,-71.89148,North Oxford,MA,Massachusetts,2248,124.3,Worcester
1540,42.11634,-71.85733,Oxford,MA,Massachusetts,11291,225.4,Worcester
1541,42.45649,-71.88128,Princeton,MA,Massachusetts,3413,37.2,Worcester
1542,42.20187,-71.91079,Rochdale,MA,Massachusetts,2202,211.2,Worcester
1543,42.38482,-71.96727,Rutland,MA,Massachusetts,7973,87.7,Worcester
